3i Group,https://www.sharecast.com/equity/3i_Group
Admiral Group,https://www.sharecast.com/equity/Admiral_Group
Anglo American,https://www.sharecast.com/equity/Anglo_American
Antofagasta,https://www.sharecast.com/equity/Antofagasta
Ashtead Group,https://www.sharecast.com/equity/Ashtead_Group
Associated British Foods,https://www.sharecast.com/equity/Associated_British_Foods
AstraZeneca,https://www.sharecast.com/equity/AstraZeneca
Auto Trader Group,https://www.sharecast.com/equity/Auto_Trader_Group
Aveva Group,https://www.sharecast.com/equity/Aveva_Group
Aviva,https://www.sharecast.com/equity/Aviva
BAE Systems,https://www.sharecast.com/equity/BAE_Systems
Barclays,https://www.sharecast.com/equity/Barclays
Barratt Developments,https://www.sharecast.com/equity/Barratt_Developments
Berkeley Group Holdings (The),https://www.sharecast.com/equity/Berkeley_Group_Holdings_The
BHP Group,https://www.sharecast.com/equity/BHP_Group
BP,https://www.sharecast.com/equity/BP
British American Tobacco,https://www.sharecast.com/equity/British_American_Tobacco
British Land Company,https://www.sharecast.com/equity/British_Land_Company
BT Group,https://www.sharecast.com/equity/BT_Group
Bunzl,https://www.sharecast.com/equity/Bunzl
Burberry Group,https://www.sharecast.com/equity/Burberry_Group
Carnival,https://www.sharecast.com/equity/Carnival
Centrica,https://www.sharecast.com/equity/Centrica
Coca-Cola HBC AG (CDI),https://www.sharecast.com/equity/Coca-Cola_HBC_AG_CDI
Compass Group,https://www.sharecast.com/equity/Compass_Group-12902
CRH,https://www.sharecast.com/equity/CRH
Croda International,https://www.sharecast.com/equity/Croda_International
DCC,https://www.sharecast.com/equity/DCC
Diageo,https://www.sharecast.com/equity/Diageo
easyJet,https://www.sharecast.com/equity/easyJet
Evraz,https://www.sharecast.com/equity/Evraz
Experian,https://www.sharecast.com/equity/Experian
Ferguson,https://www.sharecast.com/equity/Ferguson-13339
Flutter Entertainment,https://www.sharecast.com/equity/Flutter_Entertainment
GlaxoSmithKline,https://www.sharecast.com/equity/GlaxoSmithKline
Glencore,https://www.sharecast.com/equity/Glencore
Halma,https://www.sharecast.com/equity/Halma
Hargreaves Lansdown,https://www.sharecast.com/equity/Hargreaves_Lansdown
Hikma Pharmaceuticals,https://www.sharecast.com/equity/Hikma_Pharmaceuticals
HSBC Holdings,https://www.sharecast.com/equity/HSBC_Holdings
Imperial Brands,https://www.sharecast.com/equity/Imperial_Brands
Informa,https://www.sharecast.com/equity/Informa
InterContinental Hotels Group,https://www.sharecast.com/equity/InterContinental_Hotels_Group-12949
International Consolidated Airlines Group SA (CDI),https://www.sharecast.com/equity/International_Consolidated_Airlines_Group_SA_CDI
Intertek Group,https://www.sharecast.com/equity/Intertek_Group
ITV,https://www.sharecast.com/equity/ITV
JD Sports Fashion,https://www.sharecast.com/equity/JD_Sports_Fashion-13786
Johnson Matthey,https://www.sharecast.com/equity/Johnson_Matthey-13162
Just Eat Takeaway.Com N.V. (CDI),https://www.sharecast.com/equity/Just_Eat_TakeawayCom_NV_CDI
Kingfisher,https://www.sharecast.com/equity/Kingfisher
Land Securities Group,https://www.sharecast.com/equity/Land_Securities_Group-13171
Legal & General Group,https://www.sharecast.com/equity/Legal_General_Group
Lloyds Banking Group,https://www.sharecast.com/equity/Lloyds_Banking_Group
London Stock Exchange Group,https://www.sharecast.com/equity/London_Stock_Exchange_Group
M&G,https://www.sharecast.com/equity/MG-855633
Meggitt,https://www.sharecast.com/equity/Meggitt
Melrose Industries,https://www.sharecast.com/equity/Melrose_Industries
Mondi,https://www.sharecast.com/equity/Mondi
Morrison (Wm) Supermarkets,https://www.sharecast.com/equity/Morrison_Wm_Supermarkets
National Grid,https://www.sharecast.com/equity/National_Grid-13355
Next,https://www.sharecast.com/equity/Next
NMC Health,https://www.sharecast.com/equity/NMC_Health
Ocado Group,https://www.sharecast.com/equity/Ocado_Group
Pearson,https://www.sharecast.com/equity/Pearson
Persimmon,https://www.sharecast.com/equity/Persimmon
Phoenix Group Holdings,https://www.sharecast.com/equity/Phoenix_Group_Holdings-14038
Polymetal International,https://www.sharecast.com/equity/Polymetal_International
Prudential,https://www.sharecast.com/equity/Prudential
Reckitt Benckiser Group,https://www.sharecast.com/equity/Reckitt_Benckiser_Group
RELX plc,https://www.sharecast.com/equity/Relx_plc
Rentokil Initial,https://www.sharecast.com/equity/Rentokil_Initial
Rightmove,https://www.sharecast.com/equity/Rightmove-13431
Rio Tinto,https://www.sharecast.com/equity/Rio_Tinto
Rolls-Royce Holdings,https://www.sharecast.com/equity/Rolls-Royce_Holdings
Royal Bank of Scotland Group,https://www.sharecast.com/equity/Royal_Bank_of_Scotland_Group
Royal Dutch Shell 'A',https://www.sharecast.com/equity/Royal_Dutch_Shell_A
Royal Dutch Shell 'B',https://www.sharecast.com/equity/Royal_Dutch_Shell_B
RSA Insurance Group,https://www.sharecast.com/equity/RSA_Insurance_Group
Sage Group,https://www.sharecast.com/equity/Sage_Group
Sainsbury (J),https://www.sharecast.com/equity/Sainsbury_J
Schroders,https://www.sharecast.com/equity/Schroders
Scottish Mortgage Inv Trust,https://www.sharecast.com/equity/Scottish_Mortgage_Inv_Trust
SEGRO,https://www.sharecast.com/equity/SEGRO
Severn Trent,https://www.sharecast.com/equity/Severn_Trent
Smith & Nephew,https://www.sharecast.com/equity/Smith_Nephew
Smith (DS),https://www.sharecast.com/equity/Smith_DS-13295
Smiths Group,https://www.sharecast.com/equity/Smiths_Group
Smurfit Kappa Group,https://www.sharecast.com/equity/Smurfit_Kappa_Group
Spirax-Sarco Engineering,https://www.sharecast.com/equity/Spirax-Sarco_Engineering-13298
SSE,https://www.sharecast.com/equity/SSE
St James's Place,https://www.sharecast.com/equity/St_Jamess_Place
Standard Chartered,https://www.sharecast.com/equity/Standard_Chartered
Standard Life Aberdeen,https://www.sharecast.com/equity/Standard_Life_Aberdeen-13454
Taylor Wimpey,https://www.sharecast.com/equity/Taylor_Wimpey
Tesco,https://www.sharecast.com/equity/Tesco
TUI AG Reg Shs (DI),https://www.sharecast.com/equity/TUI_AG_Reg_Shs_DI-789061
Unilever,https://www.sharecast.com/equity/Unilever
United Utilities Group,https://www.sharecast.com/equity/United_Utilities_Group
Vodafone Group,https://www.sharecast.com/equity/Vodafone_Group
Whitbread,https://www.sharecast.com/equity/Whitbread
WPP,https://www.sharecast.com/equity/WPP
